gene	X101	X102	X103	X105	X106
A1BG	1.936121869	3.637656928	2.3970932	4.181307513	3.421216146
A1CF	0	0.066700034	0	0.055359972	0
A2M	9.200794306	10.68450687	6.38621645	4.586718079	5.744517894
A2ML1	0.037790169	0.213070819	0.026241539	0.053223306	0.038353054
A3GALT2	0.757130124	0.436383535	1.316274621	1.352965889	0.517737017
A4GALT	0.069817045	0	0.179378097	0	0
A4GNT	0	0	0	0	0.181063552
AAAS	17.2893893	15.73373904	14.24705053	20.33415613	23.76046582
AACS	5.884347165	4.740334265	4.504787158	5.512940411	5.527464195
AADAC	0	0	0	0	0
AADACL2	0	0	0	0	0
AADACL3	0	0	0	0	0
AADACL4	0	0	0	0	0
AADAT	0	0	0	0	0
AAED1	10.53672695	8.96809354	5.804430699	8.669160067	10.30057592
AAGAB	39.13805205	37.31745888	31.91070992	38.68053627	41.65292171
AAK1	84.02021755	83.14520449	74.74959618	50.89372274	73.70504082
AAMDC	8.070799857	5.595934369	6.288969586	5.047390658	6.974669186
AAMP	48.82643513	40.65112234	33.69152541	41.98094687	46.8342428
AANAT	10.53258769	4.41050533	3.035705894	6.321709509	4.267788312
AAR2	16.21811616	15.19972966	13.13453934	18.24939141	18.61085738
AARD	0.097013091	0	0.125892321	0	0.600925264
AARS	16.32641221	15.58760093	12.12843237	17.43843314	18.3243948
AARS2	10.50906757	8.880686044	4.982332664	8.810646842	9.707866935
AARSD1	0	0	0	0	0
AASDH	5.807436541	5.568316169	4.773902124	4.345705985	5.808326207
AASDHPPT	22.5717972	29.07710119	27.93199675	25.04708015	30.29327369
AASS	3.119687211	4.313176512	1.265024725	3.816249417	2.423952628
AATF	42.65849254	40.44583651	39.81889943	39.09520952	39.13266823
AATK	19.3920164	15.21279822	33.52517721	42.25163821	31.60020104
AATK-AS1	0.199320327	0	0	0.375093054	0
ABAT	24.02881013	24.62746391	24.87864045	24.52828218	22.15841563
ABCA1	10.25744438	32.65707233	15.86686422	19.517023	9.268371386
ABCA10	0.418883295	0.466333377	0.384313338	0.374650326	0.527077443
ABCA12	0.030746463	0	0	0.077837026	0.031020693
ABCA13	0.25727834	0.322189127	0.36372222	0.343225725	0.307720384
ABCA2	55.16686056	46.37240053	25.5738135	42.79011238	57.58140201
ABCA3	4.471121004	2.684117887	2.085730208	2.868112673	3.902193529
ABCA4	0.013774404	0.017006136	0.017520332	0	0.013997281
ABCA5	8.270491716	9.161136241	7.660294259	7.626611668	13.72743575
ABCA6	0.199594029	0.174916977	0.094902125	0.207161594	0.269797343
ABCA7	61.34995783	75.1892426	66.94525232	88.71507909	80.4114168
ABCA8	0	0	0	0	0
ABCA9	0.131948338	0.092415747	0.095563756	0.090582899	0.21477132
ABCB1	11.3092123	5.395904702	4.649619439	8.520313532	9.555727491
ABCB10	13.41273334	12.7789138	10.96687421	12.47744469	13.67234945
ABCB11	0.022890673	0.069759914	0.049745903	0.039242101	0.040452874
ABCB4	0.599880693	0.272736548	0.939185195	0.698319169	1.230439445
ABCB5	0	0.035650705	0	0	0
ABCB6	3.636577021	3.494325702	3.422251531	4.334608094	4.06580179
ABCB7	10.76506808	8.354041431	9.077108871	9.300648835	11.22039515
ABCB8	15.97000171	14.17170766	8.983366629	14.25871799	17.37168856
ABCB9	0.627225075	1.058654365	0.444126799	1.134558443	1.107466934
ABCC1	28.96118165	21.52759267	21.04935999	19.37489333	23.59261345
ABCC10	14.62099963	16.0095185	10.45868192	13.45034874	15.63856302
ABCC11	0.016920972	0.018929729	0	0	0.041425389
ABCC12	0	0	0	0	0
ABCC2	1.122747722	1.246575712	1.689489023	1.439595192	1.689675537
ABCC3	7.082568862	7.816200017	11.8191227	11.43352144	8.787249615
ABCC4	5.106745089	11.3842938	5.114919313	5.959976606	4.889038458
ABCC5	18.3980736	24.77979442	24.53078186	19.60382315	22.94375147
ABCC6	1.929957125	1.657148681	2.802900843	2.428861365	3.64297828
ABCC8	0	0	0	0	0
ABCC9	13.25055676	12.82433207	11.19600463	9.240419092	8.740320521
ABCD1	15.90834139	15.77361893	11.8260026	19.80416685	14.52436977
ABCD2	7.792407015	9.640324587	8.890777498	6.629835102	9.584781732
ABCD3	11.77315161	11.13274912	10.22048957	11.23313198	13.62255715
ABCD4	24.80416385	21.23136666	20.73898805	26.03628276	31.74892491
ABCE1	19.17328768	22.40002333	19.65962529	20.7725554	26.34192283
ABCF1	0	0	0	0	0
ABCF2	19.91481875	18.49472749	14.8524252	19.60644044	21.25410597
ABCF3	27.18499566	25.10780385	21.27004964	25.75810975	29.29079277
ABCG1	15.48470344	40.84648487	17.38132285	31.60108542	19.38729852
ABCG2	0.215402977	0.611572317	0.16064061	0.359246163	0.653797889
ABCG4	0.042870787	0	0	0	0
ABCG5	0	0	0	0	0
ABCG8	0	0	0	0	0
ABHD1	1.602858991	0.921839674	1.153286516	1.309221115	2.357035161
ABHD10	17.58038065	16.73503469	19.89618899	22.93430257	23.9852331
ABHD11	9.702824516	9.15071689	6.872701913	11.51803965	12.97377586
ABHD12	21.75278031	18.76592203	15.42504177	22.63824894	21.8858932
ABHD12B	3.045178982	3.196669684	9.170851414	4.97186954	3.879238283
ABHD13	43.13072716	42.76908928	39.42850068	31.07937888	34.67799126
ABHD14A	4.135663825	3.391121487	4.669062588	4.811392022	5.469537042
ABHD14B	58.43657768	54.45357319	47.77525719	64.15109865	76.65454026
ABHD15	37.64411114	28.43030086	20.05882299	23.44940382	30.95322004
ABHD16A	0.060464401	0	0	0	0.061478388
ABHD16B	8.452403533	7.011711744	4.023674414	8.829451853	7.032554543
ABHD17A	250.0721902	211.6321069	110.1130821	226.3457704	267.2941269
ABHD17B	28.68447497	22.24098615	16.63057198	15.33855335	21.73876598
ABHD17C	3.640766892	4.797887469	1.807453587	3.372263872	2.989976628
ABHD2	377.6318038	345.2057118	460.4709153	188.2578765	317.3106052
ABHD3	60.77438671	68.11346104	89.8615114	89.40615171	83.20795218
ABHD4	37.09386808	37.41683848	39.87618079	32.37601934	30.95807889
ABHD5	109.4148391	93.16736378	121.7716689	85.89387638	75.24921667
ABHD6	9.858638875	6.286168723	6.17977828	7.216273204	7.329600527
ABHD8	6.365716269	3.923813487	5.334383104	7.442786518	7.69193761
ABI1	84.84552108	85.45882909	98.13048839	84.17997041	80.92158811
ABI2	20.46756466	18.63338509	14.9335253	15.92062037	21.36332508
ABI3	109.9974494	74.81012721	45.99806188	95.60461725	75.79030458
ABI3BP	0.187194865	0.31855944	0.258153081	0.235399477	0.215479919
ABL1	13.69826526	12.70511768	8.180451855	10.37612739	12.2244234
ABL2	11.06552492	10.08716928	6.584155343	8.628408167	9.334198198
ABLIM1	42.07692155	64.64679405	74.19046957	48.57297615	70.06873451
ABLIM2	0.904396638	0.85435802	0.378138413	0.723345148	0.989830619
ABLIM3	4.46949099	21.41192986	12.18668655	14.63375665	7.552061271
ABO	2.443892943	3.611822643	3.043877548	1.331844464	0.886064033
ABR	89.85278059	89.1643531	79.3746643	88.16448948	77.85347862
ABRA	0.179582118	0.69685458	0.32607172	0.267949404	0
ABRACL	133.3983159	113.2089985	99.04550538	137.0119398	170.5619133
ABT1	36.50582121	39.99361608	30.98213103	36.53911882	40.31930405
ABTB1	207.135741	276.4564869	377.039159	340.7330666	377.6692105
ABTB2	2.673766592	2.982384659	2.740747885	2.661908285	1.516374682
ACAA1	77.67894876	87.11867342	84.04129953	104.1376414	105.3431812
ACAA2	25.16060037	20.15409158	18.3676456	24.12844505	27.37050923
ACACA	4.733842857	4.369222606	3.156887091	4.008496892	4.234604298
ACACB	2.556081187	3.767131334	3.843137934	2.613572094	3.804270996
ACAD10	9.559060302	9.491632171	9.257331765	13.28283522	13.23168692
ACAD11	1.844525556	1.135983294	1.391590364	0.912122259	1.450875534
ACAD8	27.92124807	26.6093183	27.7912827	24.61164524	31.92149622
ACAD9	13.64277793	15.3371905	10.44293379	17.56973984	17.97179741
ACADL	0.071107777	0	0	0	0
ACADM	19.39864047	17.02509334	15.36042484	16.38140644	19.41354461
ACADS	7.881411874	8.291128432	7.150509864	10.75226195	11.49852559
ACADSB	22.58692173	23.84268111	21.85038065	20.35588398	29.30168327
ACADVL	109.0815359	72.54366418	80.27574997	109.213833	119.7112189
ACAN	0	0.035204497	0.054700233	0.031291053	0
ACAP1	120.6662332	122.5937336	129.9745943	150.5060137	183.7110741
ACAP2	119.9826285	128.4042401	185.5158664	87.53946768	94.69764416
ACAP3	34.96666507	33.63851173	30.04190277	38.13913145	45.5346287
ACAT1	13.02185339	12.70211308	10.19504566	16.16698848	15.73653924
ACAT2	8.368619995	7.800909408	7.168549251	7.567373522	7.918376966
ACBD3	29.57942255	28.18294871	26.62609396	24.22549684	24.24423732
ACBD4	14.01138909	13.59397389	13.48507223	21.93105516	23.24142888
ACBD5	33.29511199	36.24952313	25.86822876	32.19197674	32.5966962
ACBD6	17.61944	15.73845937	14.09155029	17.03792856	18.98006034
ACBD7	0.898582742	0.722614325	0.750579405	1.052976209	0.206913483
ACCS	16.25428593	16.87447632	29.59388604	18.06657836	19.72484288
ACCSL	0	0.382592607	0.183195216	0.202460045	0.317980458
ACD	15.29436167	13.44601734	10.8140398	14.29233508	18.05204888
ACE	1.629452733	1.695347185	1.361562568	1.355593779	1.560891413
ACE2	0.031449643	0.153291537	0.097857018	0.031027335	0.07887601
ACER1	0.073457625	0.328008542	0.5027967	0.447334134	0.788585325
ACER2	3.481536808	2.857197857	3.575162847	4.950745543	4.209235866
ACER3	53.39308443	44.00900346	47.67795013	50.1716441	32.56555836
ACHE	0	0	0	0.105465503	0.073348103
ACIN1	74.045975	74.72384752	72.33904452	73.89585163	80.96456886
ACKR1	0	0	0	0.082473417	0
ACKR2	0	0.488577769	0.265475141	0.151827216	0.33924473
ACKR3	3.055534837	2.682041455	2.280118914	3.511827523	5.236913814
ACKR4	1.172751407	1.397567302	1.365228584	1.312086509	0.863231674
ACLY	52.6105967	48.44514377	43.35775023	44.13475305	50.01518138
ACMSD	0.438292595	0.354623909	0.624649533	0.565177892	0.375862344
ACO1	12.4186501	29.4260512	13.69258298	16.15730103	6.917008338
ACO2	21.68392131	17.40395216	16.22462866	17.70541642	19.43568957
ACOT1	0.720803949	0.500557206	0.328551781	0.778782309	0.920913666
ACOT11	0.498637487	0.70585026	1.044213685	0.436640551	1.674364423
ACOT12	0	0.06374131	0	0.051327601	0.052969503
ACOT13	48.62981401	56.95987072	48.68096858	56.76555546	47.52430811
ACOT2	4.074924483	4.164365559	2.038751196	4.246986575	5.579149722
ACOT4	1.593262908	1.24047363	0.78735717	0.69391394	1.685553224
ACOT6	0	0	0	0.094067705	0
ACOT7	6.496055154	9.91982964	3.458755977	9.119922709	6.610934952
ACOT8	15.19032433	14.74894193	10.83065915	16.46590501	17.65419979
ACOT9	33.83320309	50.50290891	39.42120569	55.21741128	37.29130074
ACOX1	51.30033271	70.11930667	92.69267864	63.40476354	71.9695918
ACOX2	0.079265671	0.066868774	0.068843609	0.297807828	0.232360411
ACOX3	7.671428435	6.518152264	6.15482946	6.172588213	6.475745894
